,listing_id,price,nbhood_full,price_per_month,description,room_type,host_name,last_review,borough,price_range
0,2595,225.0,"Manhattan, Midtown",6843.75,Skylit Midtown Castle,entire home/apt,Jennifer,2019-05-21,Manhattan,Expensive
1,3831,89.0,"Brooklyn, Clinton Hill",2707.0833333333335,Cozy Entire Floor of Brownstone,entire home/apt,LisaRoxanne,2019-07-05,Brooklyn,Average
2,5099,200.0,"Manhattan, Murray Hill",6083.333333333333,Large Cozy 1 BR Apartment In Midtown East,entire home/apt,Chris,2019-06-22,Manhattan,Expensive
3,5178,79.0,"Manhattan, Hell's Kitchen",2402.9166666666665,Large Furnished Room Near B'way,private room,Shunichi,2019-06-24,Manhattan,Average
4,5238,150.0,"Manhattan, Chinatown",4562.5,Cute & Cozy Lower East Side 1 bdrm,entire home/apt,Ben,2019-06-09,Manhattan,Average
5,5295,135.0,"Manhattan, Upper West Side",4106.25,Beautiful 1br on Upper West Side,entire home/apt,Lena,2019-06-22,Manhattan,Average
6,5441,85.0,"Manhattan, Hell's Kitchen",2585.4166666666665,Central Manhattan/near Broadway,private room,Kate,2019-06-23,Manhattan,Average
7,5803,89.0,"Brooklyn, South Slope",2707.0833333333335,"Lovely Room 1, Garden, Best Area, Legal rental",private room,Laurie,2019-06-24,Brooklyn,Average
8,6021,85.0,"Manhattan, Upper West Side",2585.4166666666665,Wonderful Guest Bedroom in Manhattan for SINGLES,private room,Claudio,2019-07-05,Manhattan,Average
9,6848,140.0,"Brooklyn, Williamsburg",4258.333333333333,Only 2 stops to Manhattan studio,entire home/apt,Allen & Irina,2019-06-29,Brooklyn,Average
10,7097,215.0,"Brooklyn, Fort Greene",6539.583333333333,Perfect for Your Parents + Garden,entire home/apt,Jane,2019-06-28,Brooklyn,Expensive
11,7322,140.0,"Manhattan, Chelsea",4258.333333333333,Chelsea Perfect,private room,Doti,2019-07-01,Manhattan,Average
12,7726,99.0,"Brooklyn, Crown Heights",3011.25,Hip Historic Brownstone Apartment with Backyard,entire home/apt,Adam And Charity,2019-06-22,Brooklyn,Average
13,8024,130.0,"Brooklyn, Park Slope",3954.1666666666665,CBG CtyBGd HelpsHaiti rm#1:1-4,private room,Lisel,2019-07-01,Brooklyn,Average
14,8025,80.0,"Brooklyn, Park Slope",2433.3333333333335,CBG Helps Haiti Room#2.5,private room,Lisel,2019-01-01,Brooklyn,Average
15,8110,110.0,"Brooklyn, Park Slope",3345.8333333333335,CBG Helps Haiti Rm #2,private room,Lisel,2019-07-02,Brooklyn,Average
16,8490,120.0,"Brooklyn, Bedford-Stuyvesant",3650.0,"MAISON DES SIRENES1,bohemian apartment",entire home/apt,Nathalie,2019-06-19,Brooklyn,Average
17,8505,60.0,"Brooklyn, Windsor Terrace",1825.0,Sunny Bedroom Across Prospect Park,private room,Gregory,2019-06-23,Brooklyn,Budget
18,9518,44.0,"Manhattan, Inwood",1338.3333333333333,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",private room,Shon,2019-06-15,Manhattan,Budget
19,9657,180.0,"Manhattan, East Village",5475.0,Modern 1 BR / NYC / EAST VILLAGE,entire home/apt,Dana,2019-04-19,Manhattan,Expensive
20,9668,50.0,"Manhattan, Harlem",1520.8333333333333,front room/double bed,private room,Ssameer Or Trip,2019-06-01,Manhattan,Budget
21,9704,52.0,"Manhattan, Harlem",1581.6666666666667,Spacious 1 bedroom in luxe building,private room,Teri,2019-06-14,Manhattan,Budget
22,9782,55.0,"Brooklyn, Greenpoint",1672.9166666666667,Loft in Williamsburg Area w/ Roof,private room,Andrea,2019-06-15,Brooklyn,Budget
23,9783,50.0,"Manhattan, Harlem",1520.8333333333333,back room/bunk beds,private room,Ssameer Or Trip,2019-07-01,Manhattan,Budget
24,10452,70.0,"Brooklyn, Bedford-Stuyvesant",2129.1666666666665,Large B&B Style rooms,private room,Angela,2019-05-12,Brooklyn,Average
25,10962,89.0,"Brooklyn, South Slope",2707.0833333333335,"Lovely room 2 & garden; Best area, Legal rental",private room,Laurie,2019-06-21,Brooklyn,Average
26,11708,85.0,"Brooklyn, Bushwick",2585.4166666666665,Cute apt in artist's home,entire home/apt,Tyrome,2019-06-22,Brooklyn,Average
27,12048,40.0,"Manhattan, Lower East Side",1216.6666666666667,LowerEastSide apt share shortterm 1,shared room,Ben,2019-07-05,Manhattan,Budget
28,12192,68.0,"Manhattan, East Village",2068.3333333333335,ENJOY Downtown NYC!,private room,Edward,2019-06-21,Manhattan,Budget
29,12299,120.0,"Brooklyn, South Slope",3650.0,Beautiful Sunny Park Slope Brooklyn,entire home/apt,Abdul,2019-05-27,Brooklyn,Average
30,12318,135.0,"Manhattan, Upper West Side",4106.25,West Side Retreat,private room,Cyn,2019-06-16,Manhattan,Average
31,12343,150.0,"Manhattan, Harlem",4562.5,BEST BET IN HARLEM,entire home/apt,Earl,2019-06-13,Manhattan,Average
32,12627,150.0,"Brooklyn, Prospect-Lefferts Gardens",4562.5,Entire apartment in central Brooklyn neighborhood.,entire home/apt,Rana,2019-06-05,Brooklyn,Average
33,12937,130.0,"Queens, Long Island City",3954.1666666666665,"1 Stop fr. Manhattan! Private Suite,Landmark Block",private room,Orestes,2019-07-01,Queens,Average
34,12940,110.0,"Brooklyn, Bedford-Stuyvesant",3345.8333333333335,Charming Brownstone 3 - Near PRATT,entire home/apt,Adreinne,2019-05-25,Brooklyn,Average
35,13394,80.0,"Brooklyn, Fort Greene",2433.3333333333335,Fort Greene brownstone,private room,Alexander,2019-06-17,Brooklyn,Average
36,13808,80.0,"Brooklyn, Bedford-Stuyvesant",2433.3333333333335,Blue Room for 2 in Brownstone for $1350 monthly,private room,JT And Tiziana,2019-06-16,Brooklyn,Average
37,14287,151.0,"Manhattan, Upper West Side",4592.916666666667,Cozy 1BD on Central Park West in New York City,entire home/apt,Joya,2019-07-07,Manhattan,Average
38,14290,228.0,"Brooklyn, Williamsburg",6935.0,* ORIGINAL BROOKLYN LOFT *,entire home/apt,James,2019-05-17,Brooklyn,Expensive
39,14314,144.0,"Brooklyn, Greenpoint",4380.0,Greenpoint Place...Has It All!,entire home/apt,Jeanne,2019-06-29,Brooklyn,Average
40,14322,200.0,"Manhattan, Kips Bay",6083.333333333333,Beautiful Apartment in Manhattan!!!,entire home/apt,Francesca,2019-03-25,Manhattan,Expensive
41,14377,150.0,"Brooklyn, Williamsburg",4562.5,Williamsburg 1 bedroom Apartment,entire home/apt,Joanna,2019-06-22,Brooklyn,Average
42,14991,110.0,"Manhattan, Lower East Side",3345.8333333333335,"Great Location, Manhattan Bedroom!",private room,Bianca,2019-05-18,Manhattan,Average
43,15220,69.0,"Manhattan, Hell's Kitchen",2098.75,Best Location in NYC! TIMES SQUARE!,private room,Luiz,2019-06-09,Manhattan,Budget
44,15338,49.0,"Brooklyn, Greenpoint",1490.4166666666667,Room in Greenpoint Loft w/ Roof,private room,Andrea,2019-06-04,Brooklyn,Budget
45,15341,180.0,"Manhattan, SoHo",5475.0,**Bright Nolita Apt w Doorman/Elevators/Gym**,entire home/apt,Ted,2019-06-29,Manhattan,Expensive
46,15385,80.0,"Brooklyn, Williamsburg",2433.3333333333335,"Very, very cozy place",private room,Cristina,2019-06-30,Brooklyn,Average
47,15711,250.0,"Manhattan, Upper East Side",7604.166666666667,2 bedroom - Upper East Side-great for kids,entire home/apt,D,2019-03-30,Manhattan,Expensive
48,16326,200.0,"Brooklyn, Prospect Heights",6083.333333333333,Comfortable 4-bedroom apt in family house.,entire home/apt,Dimitri,2019-01-26,Brooklyn,Expensive
49,16421,52.0,"Manhattan, Hell's Kitchen",1581.6666666666667,Your Heaven in Hells Kitchen,private room,Mark,2019-05-16,Manhattan,Budget
50,16580,80.0,"Manhattan, East Village",2433.3333333333335,"Sunny, Modern room in East Village!",private room,Reka,2019-07-01,Manhattan,Average
51,16595,275.0,"Brooklyn, Williamsburg",8364.583333333334,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,entire home/apt,Daniel,2019-06-23,Brooklyn,Expensive
52,16821,99.0,"Manhattan, East Village",3011.25,Large Room in Amazing East Village Apt,private room,Casey,2019-06-21,Manhattan,Average
53,16974,225.0,"Manhattan, East Harlem",6843.75,SpaHa Loft: Enormous and Bright,entire home/apt,Robin,2019-06-23,Manhattan,Expensive
54,17092,51.0,"Manhattan, Hell's Kitchen",1551.25,Cool Room in Hell's Kitchen,private room,Enzo,2019-06-01,Manhattan,Budget
55,17693,65.0,"Manhattan, Washington Heights",1977.0833333333333,"HARLEM, NEW YORK WELCOMES YOU!!",private room,Tye And Etienne,2019-06-18,Manhattan,Budget
56,17747,105.0,"Brooklyn, Clinton Hill",3193.75,BLUE TRIM GUEST HOUSE,private room,George,2019-06-26,Brooklyn,Average
57,18127,190.0,"Manhattan, East Village",5779.166666666667,Charming East Village One Bedroom Flat,entire home/apt,Josh,2019-01-02,Manhattan,Expensive
58,18152,200.0,"Manhattan, Upper East Side",6083.333333333333,Manhattan Room,private room,Victoria,2019-07-09,Manhattan,Expensive
59,18198,70.0,"Queens, Woodside",2129.1666666666665,Little King of Queens,private room,Justin,2019-05-31,Queens,Average
60,18590,95.0,"Brooklyn, Fort Greene",2889.5833333333335,Fort Greene Retreat on the Park,private room,Blaise,2019-06-16,Brooklyn,Average
61,18728,150.0,"Manhattan, Chelsea",4562.5,Beautiful Meatpacking District Loft,private room,DAVID And RICK,2019-05-28,Manhattan,Average
62,18764,145.0,"Brooklyn, Williamsburg",4410.416666666667,Cozy 2 BR in Williamsburg,private room,Lulú,2019-04-22,Brooklyn,Average
63,19159,110.0,"Manhattan, Harlem",3345.8333333333335,Spacious luminous apt Upper West NYC,entire home/apt,Sybilla,2019-03-23,Manhattan,Average
64,19169,285.0,"Manhattan, Lower East Side",8668.75,Entire 2 Bedroom - Large & Sunny,entire home/apt,JoLynn,2019-06-30,Manhattan,Expensive
65,19282,130.0,"Brooklyn, Flatbush",3954.1666666666665,"Sunny, Spacious Top Floor Haven",entire home/apt,Gaia,2019-06-15,Brooklyn,Average
66,19319,94.0,"Manhattan, Lower East Side",2859.1666666666665,Private room Great Deal at Lower East Side,private room,Ana,2019-04-08,Manhattan,Average
67,20299,60.0,"Manhattan, East Village",1825.0,Oh glorious spring!,private room,Edward,2019-06-30,Manhattan,Budget
68,20611,85.0,"Brooklyn, Williamsburg",2585.4166666666665,Cozy Bedroom in Williamsburg 3 BR,private room,Lulú,2019-06-22,Brooklyn,Average
69,20724,65.0,"Brooklyn, Bushwick",1977.0833333333333,Sunny room+Pvte office in huge loft,private room,Augustin,2019-05-26,Brooklyn,Budget
70,20734,131.0,"Brooklyn, Prospect Heights",3984.5833333333335,Spacious Prospect Heights Apartment,entire home/apt,Sean & Lynette,2019-06-27,Brooklyn,Average
71,20755,98.0,"Brooklyn, Clinton Hill",2980.8333333333335,"Large Parlor Room, Landmark Home 1 block to PRATT",private room,Erica,2019-05-31,Brooklyn,Average
72,20853,250.0,"Brooklyn, Prospect Heights",7604.166666666667,2-bed brownstone duplex + garden,entire home/apt,Tracy,2019-05-21,Brooklyn,Expensive
73,21293,105.0,"Brooklyn, Bushwick",3193.75,Sunny Apartment in Artist Home,entire home/apt,Tyrome,2019-06-18,Brooklyn,Average
74,21456,140.0,"Manhattan, Upper West Side",4258.333333333333,Light-filled classic Central Park,entire home/apt,Dana,2019-07-07,Manhattan,Average
75,21794,98.0,"Manhattan, Chelsea",2980.8333333333335,COZY QUIET room 4 DOOGLERS!,private room,Olan,2019-05-01,Manhattan,Average
76,22918,60.0,"Manhattan, Harlem",1825.0,loft bed - near transportation-15min to times sq,private room,Ssameer Or Trip,2019-01-03,Manhattan,Budget
77,23135,175.0,"Brooklyn, Carroll Gardens",5322.916666666667,House On Henry (3rd FLR Suite),entire home/apt,Annette,2019-06-24,Brooklyn,Average
78,23686,500.0,"Manhattan, West Village",15208.333333333334,2000 SF 3br 2bath West Village private  townhouse,entire home/apt,Ann,2019-05-18,Manhattan,Extravagant
79,24143,101.0,"Brooklyn, Williamsburg",3072.0833333333335,"Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony",private room,Seth,2019-05-29,Brooklyn,Average
80,25235,125.0,"Brooklyn, Bedford-Stuyvesant",3802.0833333333335,Large 2 Bedroom Great for Groups!,entire home/apt,Shelly,2019-06-28,Brooklyn,Average
81,25696,100.0,"Manhattan, Harlem",3041.6666666666665,"1,800 sq foot in luxury building",private room,Dena,2019-06-23,Manhattan,Average
82,26362,59.0,"Manhattan, Hell's Kitchen",1794.5833333333333,"Times Square, Safe, Clean and Cozy!",private room,Luiz,2019-06-16,Manhattan,Budget
83,26520,125.0,"Brooklyn, Clinton Hill",3802.0833333333335,"Cozy Room #3, Landmark Home 1 Block to PRATT",private room,Erica,2019-06-02,Brooklyn,Average
84,26969,325.0,"Brooklyn, Williamsburg",9885.416666666666,2 story family home in Williamsburg,entire home/apt,Alexandra,2019-06-23,Brooklyn,Expensive
85,27006,235.0,"Manhattan, Upper West Side",7147.916666666667,Comfortable UWS 2-BD Family-Friendly Brownstone,entire home/apt,Stacy,2019-04-27,Manhattan,Expensive
86,27385,225.0,"Manhattan, East Village",6843.75,Great Large 1 BR apt  in East Village!,entire home/apt,Bruce,2019-06-07,Manhattan,Expensive
87,27531,99.0,"Brooklyn, South Slope",3011.25,Eveland Private Bed & Living Room w/ Own Entrance,private room,Evelyn,2019-05-20,Brooklyn,Average
88,27644,170.0,"Manhattan, Harlem",5170.833333333333,Sugar Hill Rest Stop,entire home/apt,Emma,2019-07-01,Manhattan,Average
89,27759,170.0,"Manhattan, Upper West Side",5170.833333333333,apartment next to Central park,entire home/apt,Sylvie,2019-06-26,Manhattan,Average
90,29013,70.0,"Brooklyn, Bedford-Stuyvesant",2129.1666666666665,B & B Room 1,private room,Angela,2019-05-14,Brooklyn,Average
91,29455,120.0,"Manhattan, Harlem",3650.0,ACCOMMODATIONS GALORE #1,entire home/apt,Laurine,2019-06-20,Manhattan,Average
92,29628,89.0,"Brooklyn, Clinton Hill",2707.0833333333335,Sunny Room in New Condo,private room,Chris,2019-07-03,Brooklyn,Average
93,29683,185.0,"Manhattan, East Village",5627.083333333333,Stylish & Sleek Apartment Near SoHo!,entire home/apt,Uli,2019-06-25,Manhattan,Expensive
94,30031,50.0,"Brooklyn, Greenpoint",1520.8333333333333,NYC artists‚Äô loft with roof deck,private room,Sol,2019-05-20,Brooklyn,Budget
95,30927,105.0,"Manhattan, Lower East Side",3193.75,Unique & Charming small 1br Apt. LES,entire home/apt,Cs,2019-06-14,Manhattan,Average
96,31130,130.0,"Manhattan, Hell's Kitchen",3954.1666666666665,Most Central Location!,private room,Lara,2019-05-26,Manhattan,Average
97,31555,115.0,"Manhattan, West Village",3497.9166666666665,Luminous Beautiful West Village Studio,entire home/apt,Tom,2019-07-01,Manhattan,Average
98,31902,77.0,"Brooklyn, Flatlands",2342.0833333333335,Sanctuary in East Flatbush,private room,Sunder,2019-01-01,Brooklyn,Average
99,31994,76.0,"Brooklyn, Clinton Hill",2311.6666666666665,Room with En Suite Bathroom & Deck,private room,Waldemar,2019-06-24,Brooklyn,Average
100,32023,125.0,"Brooklyn, Bedford-Stuyvesant",3802.0833333333335,FLAT MACDONOUGH,entire home/apt,Khem,2019-06-23,Brooklyn,Average
101,32037,135.0,"Brooklyn, Clinton Hill",4106.25,Huge Private  Floor at The Waverly,private room,Sahr,2019-07-01,Brooklyn,Average
102,32965,115.0,"Brooklyn, Bedford-Stuyvesant",3497.9166666666665,FLAT MACDONOUGH GARDEN,entire home/apt,Khem,2019-06-20,Brooklyn,Average
103,32969,160.0,"Brooklyn, Williamsburg",4866.666666666667,Light filled Williamsburg Apartment,entire home/apt,Katherine,2019-07-02,Brooklyn,Average
104,33009,195.0,"Brooklyn, Williamsburg",5931.25,Retreat in Williamsburg,entire home/apt,Ming,2019-06-17,Brooklyn,Expensive
105,33014,195.0,"Manhattan, East Village",5931.25,NYC Zen,entire home/apt,Paula,2019-06-17,Manhattan,Expensive
106,33223,80.0,"Brooklyn, Williamsburg",2433.3333333333335,Cozy BR in Wiliamsburg 3 Bedroom,private room,Lulú,2019-06-22,Brooklyn,Average
107,34760,44.0,"Brooklyn, Fort Greene",1338.3333333333333,Sunny Room in Old Historical Brooklyn Townhouse,private room,Obed,2019-06-29,Brooklyn,Budget
108,35526,156.0,"Manhattan, West Village",4745.0,Sun Filled Classic West Village Apt,private room,Karen,2019-06-22,Manhattan,Average
109,36133,125.0,"Brooklyn, Williamsburg",3802.0833333333335,Classic Artist Loft Williamsburg,private room,White,2019-06-13,Brooklyn,Average
110,36703,225.0,"Manhattan, West Village",6843.75,"Sunny, clean 1 bdrm in W. Village",entire home/apt,Karene,2019-03-31,Manhattan,Expensive
111,38638,219.0,"Manhattan, Upper East Side",6661.25,Light and Airy Upper East Side 1 BDR apartment,entire home/apt,Sara,2019-06-26,Manhattan,Expensive
112,39267,99.0,"Manhattan, Upper East Side",3011.25,CENTRAL PARK LOFT all for YOU,entire home/apt,Marie,2019-06-08,Manhattan,Average
113,39282,69.0,"Brooklyn, Williamsburg",2098.75,Indie-Chic Share In Williamsburg,private room,Gus,2019-05-28,Brooklyn,Budget
